Id;TagName;Count;ExcerptPostId;WikiPostId
63;php;17321;409;408
16;javascript;15829;86;85
51;java;12407;173;172
65;html;8537;164;163
50;c#;7985;125;124
28;mysql;7846;99;98
24;android;7273;116;115
23;jquery;6960;500;499
54;python;6072;242;241
31;sql;4981;144;143
66;css;3625;114;113
62;laravel;3195;166;165
475;android-studio;3070;2227;2226
139;html5;3066;527;526
64;ajax;2980;686;685
186;sql-server;2685;613;612
4;c;2342;15;14
170;python-3.x;2193;1521;1520
184;json;2087;749;748
37;asp.net;1953;494;493
150;array;1817;843;842
511;base-de-datos;1719;5010;5009
119;laravel-5;1695;216;215
164;nodejs;1666;674;673
379;bootstrap;1639;1536;1535
192;c;1478;583;582
124;django;1444;658;657
8;angularjs;1414;22;21
2866;angular;1331;146517;146516
146;css3;1186;965;964
446;mysqli;1137;2355;2354
332;vb.net;1095;883;882
312;wordpress;1011;825;824
160;visual-studio;1009;929;928
70;linux;975;327;326
400;asp.net-mvc;946;1581;1580
427;firebase;890;2537;2536
35;oracle;847;578;577
368;postgresql;818;1080;1079
1;.net;807;680;679
358;windows-forms;806;1761;1760
171;xml;797;496;495
226;excel;768;1394;1393
360;r;733;990;989
892;webservice;715;11098;11097
1069;mvc;705;19964;19963
297;phpmyadmin;688;1855;1854
852;vue.js;670;9665;9664
352;asp.net-mvc-5;660;1572;1571
256;api;643;676;675
334;reactjs;637;923;922
190;netbeans;620;670;669
452;codeigniter;615;4884;4883
1160;web;610;27825;27824
11;typescript;602;737;736
1155;datatables;598;26814;26813
457;ionic;595;2353;2352
80;regex;593;240;239
340;poo;591;1606;1605
5;string;586;585;584
18;ruby-on-rails;579;4000;3999
138;formularios;569;1836;1835
134;python-2.7;553;1519;1518
13;ios;545;616;615
394;windows;525;1676;1675
391;lista;520;1624;1623
625;java-swing;517;5499;5498
594;jsp;504;3474;3473
52;spring;501;684;683
209;mongodb;494;712;711
74;android-layout;489;650;649
133;ubuntu;486;529;528
107;eclipse;479;919;918
7;google-maps;475;891;890
103;funciones;474;5006;5005
154;swift;473;694;693
807;pdo;464;9350;9349
508;apache;461;2347;2346
2025;imagen;438;84362;84361
58;git;433;183;182
227;vba;421;498;497
1528;query;418;73221;73220
195;pdf;406;389;388
1635;servidor;398;;
542;sqlite;397;2725;2724
49;bash;397;682;681
439;jsf;379;1777;1776
1106;pandas;369;72871;72870
20;ruby;366;283;282
240;archivo;365;741;740
555;express;363;2909;2908
527;.htaccess;343;3026;3025
14;xcode;334;690;689
460;visual-studio-2015;333;1939;1938
135;entity-framework;330;1392;1391
1816;eloquent;322;206061;206060
506;tkinter;321;7103;7102
1886;php7;320;225234;225233
53;hibernate;319;672;671
81;email;316;706;705
2071;select;314;132346;132345
617;rest;304;5272;5271
507;linq;303;2372;2371
938;android-fragment;297;26487;26486
55;variables;296;7109;7108
790;xampp;292;9249;9248
871;csv;289;9945;9944
1914;bootstrap-4;286;58674;58673
952;spring-boot;285;14876;14875
2067;visual-studio-2017;284;71404;71403
633;angularjs-2.0;284;3885;3884
328;wpf;284;1390;1389
1514;stored-procedure;279;84356;84355
981;login;278;24274;24273
661;xamarin;277;4426;4425
264;hilos;273;5322;5321
343;django-models;270;1667;1666
82;validaci??n;267;1674;1673
1654;arraylist;266;84476;84475
440;primefaces;266;1857;1856
695;date;265;9643;9642
175;algoritmos;260;704;703
233;java-ee;257;1678;1677
2301;script;256;127170;127169
629;javafx;254;3863;3862
45;post;252;5268;5267
622;aplicaci??n-web;250;9636;9635
220;jpa;244;1574;1573
1833;bucle-for;241;54990;54989
44;http;233;1525;1524
563;asp;226;2979;2978
420;qt;226;1481;1480
1620;mysql-workbench;222;84482;84481
763;react-native;221;6190;6189
1294;modal;219;84489;84488
827;cmd;217;16107;16106
451;oracle-11g;216;1895;1894
1368;matrices;215;34682;34681
572;plsql;214;3107;3106
1394;laravel-blade;211;118445;118444
29;datetime;211;1672;1671
936;listview;208;20668;20667
1885;php5;207;;
916;mariadb;206;13228;13227
2786;angular5;204;138382;138381
89;soap;204;688;687
305;asp.net-core;201;1713;1712
353;razor;195;2115;2114
684;fecha;194;10032;10031
766;trigger;194;9653;9652
863;tomcat;193;9712;9711
176;condiciones;193;6269;6268
174;cordova;192;1033;1032
845;recyclerview;191;24651;24650
2396;bot??n;190;120291;120290
1088;url;190;19999;19998
466;eventos;190;5392;5391
1430;ms-access;188;52557;52556
771;mongoose;188;6373;6372
166;npm;187;1655;1654
234;servlets;187;720;719
